Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Западно-Уральское управление,56 Оренбургская область,контроль выполнения предписания,Общество с ограниченной ответственностью «Уральская инвестиционная компания»,5 638 050 428,А49-03331-0001,11.12.2017,13.12.2017,7,7,2,0,4,0,0,0,0,4,0, -   ? ,1, 30 000.00 ? ,0,0,0,0,,
Западно-Уральское управление,56 Оренбургская область,первичная выездная проверка (по поручению 85 РП),общество с ограниченной ответственностью «МАИС»,5 638 070 128,,13.11.2017,17.11.2017,3,3,1,0,20,1,1,0,0,22,0, -   ? ,0, -   ? ,0,0,1,0,,"?является субъектом малого предпринимательства
"
Западно-Уральское управление,56 Оренбургская область,первичная выездная проверка (по поручению 85 РП),"акционерное общество ""Строительный поток-04""",5 610 054 133,А49-02489-0001,01.08.2017,04.08.2017,2,2,0,3,14,0,0,0,0,17,0, -   ? ,1, 20 000.00 ? ,0,2,0,0,,
Западно-Уральское управление,56 Оренбургская область,контроль выполнения предписания,"акционерное общество ""Строительный поток - 04""",5 610 054 133,А49-02489-0001,01.11.2017,02.11.2017,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"АО ""Лесосибирский ЛДК-№1""",2 454 003 302,А-6600519-0009,01.08.2017,25.01.2017,8,8,0,10,22,21,1,9,0,63,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""ЕнисейКранРемонт""",2 465 138 020,А66-04263-0001,07.08.2017,01.09.2017,14,14,0,20,46,0,9,0,0,75,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Монолиттехносервис""",2 465 092 304,А66-02805-0002,04.09.2017,29.09.2017,59,59,0,224,4,0,25,0,0,253,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Карабульский завод железобетонных изделий""",2 460 252 635,А66-04198-0001,14.09.2017,11.10.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,17 Республика Тыва,первичная выездная проверка (по поручению 85 РП),"Акционерное общество ""Кызылская ТЭЦ""",1 701 041 247,А66-03026-0004,06.06.2017,16.02.2017,1,0,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Кран зарегистрирован в органе Ростехнадзора 25.12.1998г. с филиалом Кызыльская ТЭЦ  ОАО «Крсаноярск Энерго». В момент проверки организация, филиал Кызыльская ТЭЦ ОАО «Красноярск Энерго» с 22.01.1999г. прекратило деятельность. Приказ ОАО «Крсаноярск Энерго» № 29 от 22.01.1999г. Кран демонтирован.
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО Научнопроизводственное предприятие ""ПТМ сервис""",2 460 248 519,А66-04192-0001,02.10.2017,27.10.2017,3,3,0,30,16,0,0,0,0,46,1, 200 000.00 ? ,0, -   ? ,1,0,0,0,"?Документы направлены в Октябрьский районный суд 30.10.2017
",
Енисейское управление,17 Республика Тыва,первичная выездная проверка (по поручению 85 РП),"ООО  ""Жилье""",1 701 001 685,А66-00320-0001,02.06.2017,16.06.2017,2,1,1,4,4,2,1,10,1,22,1, -   ? ,1, -   ? ,0,0,2,0,"?В связи с тем, что ООО ""Жилье"" относится к среднему бизнесу, в место административного наказания в виде штрафа в отношении юридического и должностного лиц вынесено предупреждение
","Согласно сведениям из Единого реестра субъектов малого и среднего предпринимательства ООО «Жилье» относится к субъектам среднего  предпринимательства.
"
Енисейское управление,17 Республика Тыва,первичная выездная проверка (по поручению 85 РП),"ООО ""Хайдып Девелопмент""",1 701 048 316,А66-04158-0001,25.06.2017,30.06.2017,1,1,0,2,2,1,0,9,0,14,1, -   ? ,1, -   ? ,0,0,2,0,"?В связи с тем, что ООО ""Хайдып Девелопмент"" относится к малому бизнесу, в место административного наказания в виде штрафа в отношении юридического и должностного лиц вынесено предупреждение
","?Согласно сведениям из Единого реестра субъектов малого и среднего предпринимательства ООО «Хайдып Девелопмент» относится к субъектам малого предпринимательства.
"
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Восток плюс""",2 465 263 197,А66-04175-0001,28.09.2017,25.10.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Древсервис""",2 407 009 314,А66-00817-0001,14.09.2017,11.10.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ЗАО ""Новоенисейский лесохимический комплекс""",2 454 012 346,"А66-00345-0001, А66-00345-0002, А66-00345-0003, А66-00345-0006, А66-00345-0019, А66-00345-0020",09.10.2017,03.11.2017,17,14,6,107,9,56,0,52,0,224,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,"3 крана не проверены в связи с отсутствием транспортного сообщения
",
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),ИП Ширмамедов Ф.Г.,245 406 761 214,,09.10.2017,03.11.2017,1,1,0,6,16,4,0,4,0,30,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),ИП Прохоренко В.В.,245 002 762 798,А66-04235-0002,08.11.2017,09.11.2017,1,1,0,6,5,0,0,0,0,11,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Контур""",2 418 004 607,А66-02038-0001,15.11.2017,12.12.2017,1,1,0,4,4,0,0,0,0,8,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Элемент Профи""",3 801 119 846,А67-02916-0001,13.11.2017,15.11.2017,1,1,0,3,0,0,0,0,0,3,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),ИП Поляков А.Н.,245 400 336 284,А66-03866-0001,07.11.2017,29.11.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ИП Еркалов В, В.",244 701 631 877,А66-04066-0001,07.11.2017,04.12.2017,1,1,0,0,4,0,0,0,0,4,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Енисей-Лифтстрой""",2 465 235 263,А66-04143-0001,27.11.2017,22.12.2017,3,3,0,17,2,0,0,0,0,19,1, 200 000.00 ? ,0, -   ? ,1,0,0,0,"?Поданы документы на приостановку деятельности в суд
",
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО Торговый дом ""Красмет""",24 655 318 015,А66-04133-0001,27.11.2017,22.12.2017,3,3,0,36,9,0,0,0,0,45,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""АЙ АСМАН""",2 454 019 422,,27.11.2017,22.12.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"ООО ""КранБашМеханизация-Сервис""",5 024 121 691,А02-90147-0001,29.05.2017,19.06.2017,13,5,1,10,10,4,0,0,0,24,0, -   ? ,1, 20 000.00 ? ,2,0,0,0,"?направлены материалы в суд на приостановку двух башенных кранов Liebherr 91-EC, уч.№113319, зав.№35538403, Liebherr 112-EC, уч.№111425. зав.№32535064.
","?8 башенных кранов находятся на территории г.Москва; направлено информационное письмо в МТУ Ростехнадзора
"
Северо-Западное управление,10 Республика Карелия,первичная выездная проверка (по поручению 85 РП),"Акционерное общество ""Крупнопанельное домостроение""",1 001 000 647,А24-01495-0001,09.10.2017,17.10.2017,1,1,1,0,7,0,0,0,0,7,0, -   ? ,0, -   ? ,0,0,1,0,,
Северо-Западное управление,10 Республика Карелия,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Управление механизации КСМ""",1 001 184 793,А24-06197-0001,11.09.2017,29.09.2017,7,7,3,2,8,0,0,0,0,10,0, -   ? ,0, -   ? ,0,0,1,0,,
Северо-Западное управление,10 Республика Карелия,контроль выполнения предписания,"Общество с ограниченной ответственностью ""Сана-СТ""",1 001 186 085, А24-06095-0001,02.11.2017,07.11.2017,3,0,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Западное управление,10 Республика Карелия,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Сана-СТ""",1 001 186 085,А24-06095-0001,24.08.2017,06.09.2017,3,3,1,1,20,1,1,0,0,23,0, -   ? ,1, 15 000.00 ? ,0,0,1,0,,
Забайкальское управление,3 Республика Бурятия,первичная выездная проверка (по поручению 85 РП),ООО Миват,326 031 540,А64-01054-0001,06.09.2017,07.09.2017,2,0,0,0,0,0,0,0,2,2,0, -   ? ,0, -   ? ,0,0,0,0,,"?1.Не снят с учета в Ростехнадзоре башенный кранQTZ-63 в связи с передачей другому владельцу

2.Не исключен опасный производственный объект из государственного реестра в связи с утратой объектом признаков опасности
"
Забайкальское управление,3 Республика Бурятия,контроль выполнения предписания,ООО Миват,326 031 540,,08.11.2017,09.11.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"Пункты предписания от 07.09.2017 г. №085/10-03-2017 №№ 1, 2 выполнены в установленный срок и снимаются с контроля в Забайкальском Управлении Ростехнадзора
 "
Забайкальское управление,3 Республика Бурятия,первичная выездная проверка (по поручению 85 РП),ООО Строительная компания Приус,326 492 559,А64-0998-0002,27.09.2017,29.09.2017,3,0,0,0,0,0,0,0,2,2,0, -   ? ,0, -   ? ,0,0,0,0,,"?1.Не снят с учета в Ростехнадзоре грузоподъемные краны в связи с передачей другому владельцу

2.Не исключен опасный производственный объект из государственного реестра в связи с утратой объектом признаков опасности
"
Забайкальское управление,3 Республика Бурятия,контроль выполнения предписания,ООО Строительная компания Приус,326 492 559,,14.11.2017,15.11.2017,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Пункты предписания от 29.09.2017 г. №099/10-03-2017 №№ 1, 2 выполнены в установленный срок и снимаются с контроля в Забайкальском Управлении Ростехнадзора"
Забайкальское управление,3 Республика Бурятия,первичная выездная проверка (по поручению 85 РП),АО Промгражданстрой,323 044 260,А64-00331-0001,13.09.2017,15.09.2017,5,2,3,3,6,0,0,0,0,9,0, -   ? ,0, -   ? ,0,0,0,0,,
Забайкальское управление,3 Республика Бурятия,контроль выполнения предписания,АО Промгражданстрой,323 044 260,А64-00331-0001,07.12.2017,08.12.2017,5,1,4,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Забайкальское управление,3 Республика Бурятия,первичная выездная проверка (по поручению 85 РП),ООО Даржа,323 357 304,,24.10.2017,25.10.2017,3,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"ООО «Даржа» реализовало ранее возвращенные после окончания аренды башенные краны частному лицу:
- копия договора купли-продажи от 09.01.2017 г. №1 на башенный кран КБ-403Б уч.№24686, зав. №190 с актом приема-передачи;
- копия договора купли-продажи от 09.01.2017 г. №2 на башенный кран КБ-403А уч.№24969, зав. №1740 с актом приема-передачи;- копия договора купли-продажи от 09.01.2017 г. №3 на башенный кран КБ-403Б уч.№25020, зав. №б/н с актом приема-передачи"
Центральное управление,50 Московская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""СМ-Механизация""",5 050 093 024,А02-90910-0001,22.05.2017,26.05.2017,2,2,0,0,17,3,1,0,0,21,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,"?Направлены материалы в суд на приостановку башенного крана КБ-473 (уч. номер 113121, зав номер 89)
"
